Source,Target,Weight
健忘,浮肿,9.0
健忘,胁痛,1.0
健忘,白内障,1.0
健忘,呵欠,1.0
健忘,急惊,2.0
健忘,转筋,2.0
健忘,毛发脱落,1.0
健忘,心悸,37.0
健忘,咽干,4.0
健忘,赤白带,4.0
健忘,心烦,11.0
健忘,肠鸣,2.0
健忘,五心烦热,2.0
健忘,壮热,2.0
健忘,短气,5.0
健忘,痫,8.0
健忘,项强,1.0
健忘,舌干,3.0
健忘,恶心,4.0
健忘,少气,1.0
健忘,小便不通,1.0
健忘,腰重,3.0
健忘,麻疹,2.0
健忘,呕吐,4.0
健忘,口淡,1.0
健忘,烦躁,13.0
健忘,精液清冷,1.0
健忘,耳聋,6.0
健忘,腰痛,4.0
健忘,反胃,1.0
健忘,背痛,1.0
健忘,腹泻,1.0
健忘,舌强,2.0
健忘,多梦,15.0
健忘,疲乏,11.0
健忘,不孕,1.0
健忘,口噤,2.0
健忘,崩漏,2.0
健忘,头重,2.0
健忘,头痛,22.0
健忘,食欲不振,13.0
健忘,潮热,1.0
健忘,脏躁,1.0
健忘,白带,5.0
健忘,大便溏,1.0
健忘,头昏,11.0
健忘,腹冷,2.0
健忘,口苦,4.0
健忘,不寐,6.0
健忘,腹痛,3.0
健忘,小便频数,5.0
健忘,咳嗽,5.0
健忘,善悲,1.0
健忘,慢惊,1.0
健忘,头晕,41.0
健忘,难产,2.0
健忘,自汗,14.0
健忘,半身不遂,3.0
健忘,口中生疮,1.0
健忘,憋气,1.0
健忘,胸闷,7.0
健忘,寒热往来,2.0
产后身痛,身痛,2.0
臁疮,耳痛,1.0
臁疮,痄腮,1.0
臁疮,便血,3.0
臁疮,盗汗,1.0
臁疮,丹毒,1.0
臁疮,噎膈,1.0
臁疮,瘰疬,17.0
臁疮,赤白带,2.0
臁疮,阴疮,2.0
臁疮,漏睛,2.0
臁疮,吐血,2.0
臁疮,口臭,3.0
臁疮,四肢疼痛,2.0
臁疮,无名肿毒,16.0
臁疮,杨梅疮,3.0
臁疮,牙痛,2.0
臁疮,湿疮,5.0
臁疮,崩漏,1.0
臁疮,头痛,2.0
臁疮,胞衣不下,1.0
臁疮,白带,2.0
臁疮,腹痛,1.0
臁疮,咳嗽,5.0
臁疮,难产,1.0
臁疮,半身不遂,4.0
骨痛,气喘,2.0
骨痛,呃逆,1.0
骨痛,便血,1.0
骨痛,畏寒,1.0
骨痛,鼻塞,4.0
骨痛,身重,1.0
骨痛,丹毒,1.0
骨痛,舌苔白,1.0
骨痛,小儿丹毒,1.0
骨痛,目昏,1.0
骨痛,瘫痪,7.0
骨痛,发狂,1.0
骨痛,转筋,1.0
骨痛,心悸,4.0
骨痛,胃痛,1.0
骨痛,瘰疬,1.0
骨痛,赤白带,2.0
骨痛,心烦,2.0
骨痛,痫,1.0
骨痛,恶心,3.0
骨痛,恶寒,2.0
骨痛,头热,1.0
骨痛,吐血,2.0
骨痛,四肢麻木,2.0
骨痛,谵语,1.0
骨痛,呕吐,6.0
骨痛,耳聋,1.0
骨痛,无名肿毒,1.0
骨痛,腰痛,9.0
骨痛,偏头痛,1.0
骨痛,背痛,2.0
骨痛,杨梅疮,2.0
骨痛,牙痛,1.0
骨痛,多梦,4.0
骨痛,足跟痛,1.0
骨痛,口噤,2.0
骨痛,皮肤瘙痒,2.0
骨痛,头重,1.0
骨痛,恶风,1.0
骨痛,头痛,14.0
骨痛,食欲不振,1.0
骨痛,潮热,2.0
骨痛,白带,3.0
骨痛,恶寒发热,1.0
骨痛,腹痛,4.0
骨痛,咳嗽,3.0
骨痛,咽喉痛,1.0
骨痛,小便黄赤,1.0
骨痛,头晕,2.0
骨痛,难产,2.0
骨痛,自汗,1.0
骨痛,半身不遂,5.0
骨痛,胸闷,1.0
骨痛,胎动不安,1.0
骨痛,晕厥,1.0
角弓反张,气喘,2.0
角弓反张,小便不利,1.0
角弓反张,神昏,8.0
角弓反张,舌苔黄,1.0
角弓反张,腹满,1.0
角弓反张,大便秘结,1.0
角弓反张,产后腹痛,1.0
角弓反张,瘫痪,3.0
角弓反张,发狂,3.0
角弓反张,急惊,4.0
角弓反张,转筋,3.0
角弓反张,赤白带,1.0
角弓反张,心烦,1.0
角弓反张,头摇,3.0
角弓反张,产后发痉,1.0
角弓反张,五心烦热,1.0
角弓反张,壮热,4.0
角弓反张,短气,1.0
角弓反张,痫,20.0
角弓反张,项强,9.0
角弓反张,黄汗,1.0
角弓反张,崩中,3.0
角弓反张,四肢麻木,1.0
角弓反张,谵语,1.0
角弓反张,烦躁,2.0
角弓反张,舌苔黄腻,1.0
角弓反张,耳聋,1.0
角弓反张,无汗,3.0
角弓反张,腰痛,1.0
角弓反张,舌强,3.0
角弓反张,四肢拘急,2.0
角弓反张,口噤,46.0
角弓反张,皮肤瘙痒,1.0
角弓反张,四肢强直,1.0
角弓反张,恶风,1.0
角弓反张,头痛,5.0
角弓反张,胞衣不下,1.0
角弓反张,白带,1.0
角弓反张,腹痛,5.0
角弓反张,咳嗽,4.0
角弓反张,慢惊,7.0
角弓反张,头晕,1.0
角弓反张,手颤,1.0
角弓反张,自汗,1.0
角弓反张,半身不遂,8.0
角弓反张,啮齿,1.0
角弓反张,寒热往来,3.0
角弓反张,言语错乱,1.0
舌肿,舌裂,2.0
舌肿,鼻衄,1.0
舌肿,舌苔黄,2.0
舌肿,鼻塞,1.0
舌肿,目昏,1.0
舌肿,浮肿,1.0
舌肿,舌生芒刺,2.0
舌肿,壮热,1.0
舌肿,痫,1.0
舌肿,项强,1.0
舌肿,舌干,1.0
舌肿,恶寒,1.0
舌肿,小儿鹅口,1.0
舌肿,无汗,1.0
舌肿,牙痛,2.0
舌肿,口噤,1.0
舌肿,舌卷,2.0
舌肿,恶风,1.0
舌肿,口唇焦裂,1.0
舌肿,咳嗽,4.0
舌肿,咽肿,1.0
舌肿,牙龈肿痛,1.0
小儿水痘,大便秘结,1.0
小儿水痘,壮热,1.0
小儿水痘,烦躁,1.0
小儿水痘,咳嗽,1.0
痄腮,臁疮,1.0
痄腮,便血,1.0
痄腮,身痛,1.0
痄腮,丹毒,4.0
痄腮,大便秘结,1.0
痄腮,胎毒,1.0
痄腮,发黄,1.0
痄腮,发狂,1.0
痄腮,急惊,1.0
痄腮,咽干,2.0
痄腮,瘰疬,2.0
痄腮,赤白带,1.0
痄腮,壮热,2.0
痄腮,咳血,1.0
痄腮,舌干,1.0
痄腮,恶心,1.0
痄腮,恶寒,1.0
痄腮,小便不通,1.0
痄腮,吐血,1.0
痄腮,麻疹,1.0
痄腮,呕吐,1.0
痄腮,无名肿毒,1.0
痄腮,无汗,1.0
痄腮,反胃,1.0
痄腮,口渴,1.0
痄腮,崩漏,1.0
痄腮,恶风,2.0
痄腮,头痛,4.0
痄腮,潮热,1.0
痄腮,白带,1.0
痄腮,恶寒发热,1.0
痄腮,咳嗽,1.0
痄腮,小便黄赤,1.0
痄腮,头晕,1.0
舌裂,舌肿,2.0
舌裂,畏寒,1.0
舌裂,盗汗,1.0
舌裂,舌苔黄,2.0
舌裂,胁痛,1.0
舌裂,舌生芒刺,2.0
舌裂,咽干,1.0
舌裂,吐血,1.0
舌裂,烦躁,5.0
舌裂,口渴,3.0
舌裂,舌卷,2.0
舌裂,潮热,1.0
舌裂,不寐,1.0
舌裂,咳嗽,1.0
舌裂,自汗,1.0
干呕,气喘,2.0
干呕,呃逆,2.0
干呕,小便不利,4.0
干呕,畏寒,1.0
干呕,盗汗,2.0
干呕,神昏,2.0
干呕,身痛,2.0
干呕,舌苔黄,1.0
干呕,寒战,1.0
干呕,鼻塞,4.0
干呕,腹满,7.0
干呕,舌光,2.0
干呕,丹毒,1.0
干呕,大便秘结,1.0
干呕,目昏,2.0
干呕,噎膈,1.0
干呕,吞酸,8.0
干呕,浮肿,2.0
干呕,胁痛,3.0
干呕,心下痞,2.0
干呕,咽干,3.0
干呕,胃痛,1.0
干呕,赤白带,1.0
干呕,心烦,16.0
干呕,消瘦,3.0
干呕,五心烦热,1.0
干呕,壮热,7.0
干呕,短气,7.0
干呕,痫,2.0
干呕,项强,2.0
干呕,恶心,16.0
干呕,恶寒,4.0
干呕,嘈杂,4.0
干呕,吐血,5.0
干呕,少腹痛,1.0
干呕,麻疹,4.0
干呕,呕吐,20.0
干呕,烦躁,9.0
干呕,口臭,1.0
干呕,耳聋,3.0
干呕,四肢疼痛,1.0
干呕,腰痛,2.0
干呕,鼻干,2.0
干呕,偏头痛,2.0
干呕,反胃,1.0
干呕,背痛,2.0
干呕,里急后重,2.0
干呕,上吐下泻,2.0
干呕,口渴,2.0
干呕,积滞,1.0
干呕,恶风,2.0
干呕,头痛,17.0
干呕,食欲不振,2.0
干呕,潮热,3.0
干呕,白带,1.0
干呕,头昏,4.0
干呕,腹冷,1.0
干呕,面色白,4.0
干呕,口苦,3.0
干呕,腹痛,14.0
干呕,咳嗽,12.0
干呕,手足厥冷,2.0
干呕,自汗,1.0
干呕,口中生疮,1.0
干呕,胸闷,3.0
干呕,寒热往来,4.0
半身麻木,痫,1.0
呃逆,健忘,2.0
呃逆,骨痛,1.0
呃逆,干呕,2.0
呃逆,小便不利,1.0
呃逆,便血,2.0
呃逆,盗汗,1.0
呃逆,神昏,1.0
呃逆,嗳气,10.0
呃逆,鼻塞,1.0
呃逆,身重,1.0
呃逆,腹满,3.0
呃逆,舌光,2.0
呃逆,大便秘结,2.0
呃逆,舌苔白,6.0
呃逆,噎膈,1.0
呃逆,吞酸,9.0
呃逆,发狂,1.0
呃逆,浮肿,1.0
呃逆,胁痛,1.0
呃逆,心下痞,1.0
呃逆,转筋,1.0
呃逆,心悸,2.0
呃逆,咽干,3.0
呃逆,胃痛,3.0
呃逆,赤白带,1.0
呃逆,肠鸣,3.0
呃逆,壮热,1.0
呃逆,咳血,1.0
呃逆,舌干,1.0
呃逆,恶心,8.0
呃逆,恶寒,3.0
呃逆,崩中,1.0
呃逆,嘈杂,6.0
呃逆,吐血,1.0
呃逆,谵语,2.0
呃逆,麻疹,1.0
呃逆,呕吐,15.0
呃逆,烦躁,2.0
呃逆,口臭,1.0
呃逆,耳聋,1.0
呃逆,里急后重,2.0
呃逆,腹泻,1.0
呃逆,口渴,5.0
呃逆,积滞,3.0
呃逆,头重,1.0
呃逆,食欲不振,3.0
呃逆,潮热,1.0
呃逆,白带,1.0
呃逆,腹冷,2.0
呃逆,小儿痞块,2.0
呃逆,面色白,1.0
呃逆,不寐,1.0
呃逆,腹痛,4.0
呃逆,咳嗽,6.0
呃逆,小便黄赤,1.0
呃逆,头晕,1.0
呃逆,自汗,3.0
呃逆,胸闷,3.0
经行腹痛,漏下,1.0
经行腹痛,浮肿,1.0
经行腹痛,心烦,1.0
经行腹痛,崩中,1.0
经行腹痛,烦躁,1.0
经行腹痛,不孕,1.0
经行腹痛,胞衣不下,1.0
经行腹痛,腹痛,15.0
经行腹痛,咳嗽,1.0
经行腹痛,难产,1.0
经行腹痛,尿血,1.0
经行腹痛,胸闷,1.0
小便不利,气喘,18.0
小便不利,角弓反张,1.0
小便不利,干呕,4.0
小便不利,呃逆,1.0
小便不利,善太息,2.0
小便不利,便血,3.0
小便不利,畏寒,1.0
小便不利,盗汗,4.0
小便不利,神昏,1.0
小便不利,身痛,6.0
小便不利,舌苔黄,2.0
小便不利,鼻塞,2.0
小便不利,产后浮肿,1.0
小便不利,身重,11.0
小便不利,腹满,18.0
小便不利,丹毒,4.0
小便不利,大便下血,1.0
小便不利,肥胖,2.0
小便不利,漏下,2.0
小便不利,目昏,5.0
小便不利,吞酸,2.0
小便不利,发黄,16.0
小便不利,浮肿,64.0
小便不利,胁痛,2.0
小便不利,心下痞,5.0
小便不利,急惊,1.0
小便不利,转筋,1.0
小便不利,心悸,2.0
小便不利,咽干,9.0
小便不利,尿痛,1.0
小便不利,远视,1.0
小便不利,足热,5.0
小便不利,赤白带,1.0
小便不利,心烦,13.0
小便不利,肠鸣,8.0
小便不利,脱肛,1.0
小便不利,五心烦热,1.0
小便不利,头汗,5.0
小便不利,关节疼痛,3.0
小便不利,壮热,5.0
小便不利,短气,15.0
小便不利,阴疮,1.0
小便不利,痫,3.0
小便不利,项强,4.0
小便不利,舌干,1.0
小便不利,黄汗,6.0
小便不利,恶心,5.0
小便不利,恶寒,25.0
小便不利,少气,8.0
小便不利,崩中,1.0
小便不利,嘈杂,1.0
小便不利,头热,2.0
小便不利,小便不通,2.0
小便不利,阴痛,1.0
小便不利,吐血,2.0
小便不利,腰冷,2.0
小便不利,谵语,5.0
小便不利,腰重,6.0
小便不利,呕吐,33.0
小便不利,口淡,1.0
小便不利,烦躁,24.0
小便不利,口臭,1.0
小便不利,心下悸,4.0
小便不利,舌苔黄腻,2.0
小便不利,耳聋,5.0
小便不利,腰脊痛,2.0
小便不利,无汗,13.0
小便不利,腰痛,11.0
小便不利,反胃,1.0
小便不利,背痛,2.0
小便不利,里急后重,5.0
小便不利,牙痛,2.0
小便不利,腹泻,1.0
小便不利,口渴,18.0
小便不利,积滞,2.0
小便不利,遗尿,1.0
小便不利,四肢拘急,6.0
小便不利,崩漏,1.0
小便不利,小便失禁,1.0
小便不利,头重,3.0
小便不利,恶风,19.0
小便不利,头痛,13.0
小便不利,食欲不振,2.0
小便不利,潮热,5.0
小便不利,白带,1.0
小便不利,大便溏,6.0
小便不利,口苦,1.0
小便不利,腹痛,23.0
小便不利,小便频数,1.0
小便不利,咳嗽,26.0
小便不利,慢惊,1.0
小便不利,小便黄赤,2.0
小便不利,头晕,2.0
小便不利,手足厥冷,1.0
小便不利,难产,1.0
小便不利,自汗,14.0
小便不利,半身不遂,2.0
小便不利,胸闷,1.0
小便不利,寒热往来,4.0
善太息,小便不利,2.0
善太息,胁痛,1.0
善太息,腰痛,2.0
善太息,善怒,2.0
善太息,头痛,2.0
善太息,口苦,1.0
善太息,胸痛,2.0
牙龈出血,大便秘结,1.0
牙龈出血,心烦,1.0
牙龈出血,烦躁,2.0
牙龈出血,口臭,1.0
牙龈出血,口渴,2.0
牙龈出血,咳嗽,1.0
牙龈出血,头晕,1.0
臂痛,身重,1.0
臂痛,目昏,1.0
臂痛,吞酸,1.0
臂痛,浮肿,2.0
臂痛,恶心,2.0
臂痛,嘈杂,1.0
臂痛,呕吐,3.0
臂痛,腰痛,2.0
臂痛,头痛,1.0
臂痛,咳嗽,2.0
臂痛,言语错乱,1.0
面色青,顿咳,1.0
面色青,胎漏,1.0
面色青,健忘,2.0
面色青,畏寒,1.0
面色青,盗汗,4.0
面色青,身痛,1.0
面色青,嗳气,1.0
面色青,腹满,2.0
面色青,丹毒,1.0
面色青,大便秘结,1.0
面色青,漏下,1.0
面色青,目昏,2.0
面色青,吞酸,3.0
面色青,浮肿,1.0
面色青,急惊,1.0
面色青,转筋,5.0
面色青,乳房胀痛,1.0
面色青,小儿腹痛,1.0
面色青,心烦,3.0
面色青,消瘦,3.0
面色青,肠鸣,1.0
面色青,五心烦热,3.0
面色青,壮热,7.0
面色青,乳汁不行,1.0
面色青,痫,1.0
面色青,舌干,2.0
面色青,恶心,5.0
面色青,夜间多尿,1.0
面色青,少气,2.0
面色青,少腹痛,1.0
面色青,呕吐,7.0
面色青,烦躁,2.0
面色青,耳聋,1.0
面色青,足痛,1.0
面色青,上吐下泻,1.0
面色青,小便清长,1.0
面色青,崩漏,2.0
面色青,头痛,4.0
面色青,潮热,1.0
面色青,白带,3.0
面色青,头昏,2.0
面色青,口苦,1.0
面色青,尿后余沥,1.0
面色青,弄舌,1.0
面色青,腹痛,19.0
面色青,小便频数,1.0
面色青,咳嗽,3.0
面色青,慢惊,1.0
面色青,小便黄赤,2.0
面色青,头晕,3.0
面色青,手足厥冷,3.0
面色青,自汗,1.0
面色青,寒热往来,2.0
经期延长,月经过多,2.0
经期延长,崩漏,1.0
经期延长,腹痛,1.0
舌胖,肥胖,1.0
舌胖,浮肿,1.0
舌胖,少气,1.0
舌胖,胸闷,1.0
天疱疮,盗汗,1.0
天疱疮,鼻衄,1.0
天疱疮,耳内流脓,1.0
天疱疮,浮肿,1.0
天疱疮,胁痛,1.0
天疱疮,赤白带,1.0
天疱疮,吐血,1.0
天疱疮,耳聋,1.0
天疱疮,无名肿毒,1.0
天疱疮,腰痛,1.0
天疱疮,疳积,1.0
天疱疮,杨梅疮,2.0
天疱疮,湿疮,2.0
天疱疮,白带,1.0
天疱疮,腹痛,1.0
天疱疮,半身不遂,1.0
便血,气喘,1.0
便血,胎漏,2.0
便血,臁疮,3.0
便血,骨痛,1.0
便血,痄腮,1.0
便血,呃逆,2.0
便血,小便不利,3.0
便血,盗汗,9.0
便血,血精,1.0
便血,鼻衄,3.0
便血,嗳气,2.0
便血,鼻塞,1.0
便血,腹满,4.0
便血,丹毒,1.0
便血,大便下血,4.0
便血,大便秘结,2.0
便血,舌苔白,2.0
便血,漏下,4.0
便血,目昏,1.0
便血,噎膈,1.0
便血,吞酸,2.0
便血,胁痛,1.0
便血,舌疮,1.0
便血,急惊,1.0
便血,心悸,2.0
便血,咽干,3.0
便血,瘰疬,1.0
便血,赤白带,4.0
便血,心烦,4.0
便血,消瘦,1.0
便血,肠鸣,1.0
便血,脱肛,5.0
便血,五心烦热,1.0
便血,壮热,2.0
便血,短气,1.0
便血,咳血,10.0
便血,痫,2.0
便血,项强,1.0
便血,舌干,1.0
便血,月经过多,1.0
便血,恶心,5.0
便血,大便艰难,2.0
便血,恶寒,1.0
便血,少气,2.0
便血,崩中,1.0
便血,嘈杂,1.0
便血,小便不通,1.0
便血,吐血,44.0
便血,谵语,1.0
便血,呕吐,6.0
便血,口淡,1.0
便血,烦躁,2.0
便血,口臭,1.0
便血,耳聋,2.0
便血,无名肿毒,3.0
便血,腰痛,2.0
便血,疳积,2.0
便血,里急后重,4.0
便血,上吐下泻,1.0
便血,腹泻,1.0
便血,口渴,1.0
便血,积滞,3.0
便血,汗血,1.0
便血,遗尿,1.0
便血,不孕,1.0
便血,足跟痛,1.0
便血,皮肤瘙痒,1.0
便血,崩漏,15.0
便血,头痛,4.0
便血,潮热,3.0
便血,胞衣不下,1.0
便血,白带,4.0
便血,恶寒发热,1.0
便血,口苦,2.0
便血,腹痛,10.0
便血,肛裂,1.0
便血,咳嗽,9.0
便血,慢惊,1.0
便血,咽喉痛,1.0
便血,头晕,2.0
便血,难产,2.0
便血,自汗,4.0
便血,半身不遂,1.0
便血,舌上出血,1.0
便血,尿血,14.0
便血,胎动不安,5.0
畏寒,气喘,3.0
畏寒,健忘,1.0
畏寒,骨痛,1.0
畏寒,舌裂,1.0
畏寒,干呕,1.0
畏寒,小便不利,1.0
畏寒,面色青,1.0
畏寒,盗汗,3.0
畏寒,神昏,1.0
畏寒,身痛,2.0
畏寒,嗳气,4.0
畏寒,鼻塞,4.0
畏寒,腹满,1.0
畏寒,丹毒,1.0
畏寒,大便秘结,1.0
畏寒,舌苔白,1.0
畏寒,痴呆,1.0
畏寒,目昏,1.0
畏寒,吞酸,2.0
畏寒,心悸,3.0
畏寒,胃痛,1.0
畏寒,赤白带,1.0
畏寒,心烦,2.0
畏寒,消瘦,2.0
畏寒,肠鸣,3.0
畏寒,关节疼痛,2.0
畏寒,壮热,2.0
畏寒,项强,1.0
畏寒,月经过多,2.0
畏寒,夜间多尿,1.0
畏寒,恶寒,1.0
畏寒,少气,1.0
畏寒,腰冷,1.0
畏寒,麻疹,1.0
畏寒,呕吐,4.0
畏寒,口淡,1.0
畏寒,烦躁,2.0
畏寒,背冷,3.0
畏寒,耳聋,1.0
畏寒,四肢疼痛,1.0
畏寒,无汗,1.0
畏寒,腰痛,5.0
畏寒,上吐下泻,1.0
畏寒,小便清长,1.0
畏寒,疲乏,6.0
畏寒,遗尿,3.0
畏寒,头重,1.0
畏寒,恶风,1.0
畏寒,头痛,5.0
畏寒,潮热,1.0
畏寒,白带,3.0
畏寒,大便溏,4.0
畏寒,头昏,1.0
畏寒,腹冷,2.0
畏寒,不寐,1.0
畏寒,尿后余沥,1.0
畏寒,腹痛,6.0
畏寒,咳痰,2.0
畏寒,小便频数,2.0
畏寒,咳嗽,9.0
畏寒,头晕,4.0
畏寒,手足厥冷,2.0
畏寒,自汗,5.0
畏寒,善惊,2.0
畏寒,胸闷,3.0
畏寒,寒热往来,1.0
盗汗,气喘,7.0
盗汗,胎漏,1.0
盗汗,健忘,19.0
盗汗,臁疮,1.0
盗汗,舌裂,1.0
盗汗,干呕,2.0
盗汗,呃逆,1.0
盗汗,小便不利,4.0
盗汗,面色青,4.0
盗汗,天疱疮,1.0
盗汗,便血,9.0
盗汗,畏寒,3.0
盗汗,鼻衄,4.0
盗汗,产后血崩,1.0
盗汗,神昏,7.0
盗汗,身痛,1.0
盗汗,鼻塞,2.0
盗汗,腹满,3.0
盗汗,耳内流脓,1.0
盗汗,舌光,1.0
盗汗,丹毒,1.0
盗汗,漏下,4.0
盗汗,目昏,27.0
盗汗,浮肿,11.0
盗汗,胁痛,1.0
盗汗,目干涩,1.0
盗汗,转筋,1.0
盗汗,心悸,21.0
盗汗,咽干,22.0
盗汗,胃痛,1.0
盗汗,瘰疬,4.0
盗汗,尿痛,1.0
盗汗,赤白带,13.0
盗汗,心烦,63.0
盗汗,消瘦,22.0
盗汗,肠鸣,6.0
盗汗,脱肛,3.0
盗汗,五心烦热,37.0
盗汗,头汗,2.0
盗汗,壮热,14.0
盗汗,短气,10.0
盗汗,咳血,5.0
盗汗,痫,4.0
盗汗,云雾移睛,1.0
盗汗,项强,2.0
盗汗,舌干,10.0
盗汗,恶心,9.0
盗汗,恶寒,11.0
盗汗,少气,7.0
盗汗,崩中,5.0
盗汗,头热,2.0
盗汗,小便不通,1.0
盗汗,吐血,15.0
盗汗,少腹痛,1.0
盗汗,腰重,2.0
盗汗,呕吐,18.0
盗汗,烦躁,35.0
盗汗,口臭,4.0
盗汗,耳聋,11.0
盗汗,四肢疼痛,2.0
盗汗,无名肿毒,2.0
盗汗,无汗,1.0
盗汗,腰痛,16.0
盗汗,鼻干,1.0
盗汗,疳积,5.0
盗汗,反胃,3.0
盗汗,背痛,1.0
盗汗,杨梅疮,1.0
盗汗,牙痛,1.0
盗汗,口渴,15.0
盗汗,舌强,2.0
盗汗,积滞,2.0
盗汗,产后发热,1.0
盗汗,多梦,7.0
盗汗,疲乏,3.0
盗汗,遗尿,2.0
盗汗,不孕,2.0
盗汗,口噤,5.0
盗汗,小儿厌食,1.0
盗汗,舌卷,1.0
盗汗,崩漏,12.0
盗汗,恶风,4.0
盗汗,头痛,12.0
盗汗,食欲不振,4.0
盗汗,潮热,91.0
盗汗,胞衣不下,2.0
盗汗,脏躁,2.0
盗汗,白带,13.0
盗汗,大便溏,2.0
盗汗,头昏,10.0
盗汗,腹冷,3.0
盗汗,低热,3.0
盗汗,腰膝无力,3.0
盗汗,面色白,1.0
盗汗,口苦,12.0
盗汗,不寐,4.0
盗汗,多唾,1.0
盗汗,腹痛,23.0
盗汗,咳痰,3.0
盗汗,小便频数,7.0
盗汗,咳嗽,87.0
盗汗,慢惊,3.0
盗汗,小便黄赤,3.0
盗汗,头晕,19.0
盗汗,手足厥冷,1.0
盗汗,难产,2.0
盗汗,自汗,83.0
盗汗,半身不遂,2.0
盗汗,尿血,1.0
盗汗,胸闷,2.0
盗汗,寒热往来,11.0
