Source,Target,Weight
青木香,杏,11.0
青木香,青葙,1.0
青木香,犀角,15.0
青木香,磁石,6.0
青木香,藕节,1.0
青木香,柴胡,11.0
青木香,海藻,3.0
青木香,竹茹,1.0
青木香,麻黄,9.0
青木香,木香,114.0
青木香,麦门冬,3.0
青木香,泽泻,9.0
青木香,桂枝,7.0
青木香,麻黄根,2.0
青木香,枳壳,13.0
青木香,车前,3.0
青木香,鬼箭羽,3.0
青木香,独活,11.0
青木香,牛黄,4.0
青木香,薏苡仁,2.0
青木香,胡黄连,1.0
青木香,麦冬,3.0
青木香,香附,20.0
青木香,五味子,3.0
青木香,稻芽,1.0
青木香,石膏,17.0
青木香,紫苏梗,2.0
青木香,牡丹,2.0
青木香,诃子,1.0
徐长卿,荆芥,1.0
徐长卿,海螵蛸,2.0
徐长卿,红花,1.0
徐长卿,桃,1.0
徐长卿,桑,2.0
徐长卿,川芎,2.0
徐长卿,白术,1.0
徐长卿,小茴香,2.0
徐长卿,黄皮,1.0
徐长卿,鸡内金,2.0
徐长卿,五加皮,1.0
徐长卿,生姜,2.0
徐长卿,延胡索,2.0
徐长卿,防风,1.0
徐长卿,莪术,2.0
徐长卿,肉桂,2.0
徐长卿,甘草,1.0
徐长卿,川楝子,2.0
徐长卿,桑枝,2.0
徐长卿,炉甘石,2.0
徐长卿,细辛,1.0
徐长卿,干姜,2.0
徐长卿,榧,2.0
徐长卿,赤芍,1.0
徐长卿,当归,2.0
徐长卿,牛膝,1.0
徐长卿,车前子,2.0
徐长卿,樟脑,4.0
徐长卿,杜仲,1.0
徐长卿,板蓝根,1.0
徐长卿,栀子,1.0
徐长卿,远志,1.0
徐长卿,苦楝皮,2.0
徐长卿,丁香,2.0
徐长卿,白芷,2.0
徐长卿,三棱,1.0
徐长卿,草乌,2.0
徐长卿,金银花,1.0
徐长卿,白花蛇舌草,1.0
徐长卿,龙胆,1.0
徐长卿,黄芩,1.0
徐长卿,丹参,1.0
徐长卿,益母草,1.0
徐长卿,金果榄,1.0
徐长卿,王不留行,1.0
徐长卿,猪苓,1.0
徐长卿,茴香,2.0
徐长卿,雪上一枝蒿,1.0
徐长卿,茯苓,2.0
徐长卿,附子,1.0
徐长卿,莲子,2.0
徐长卿,雷丸,2.0
徐长卿,沉香,1.0
徐长卿,薄荷,2.0
徐长卿,榧子,2.0
徐长卿,五加,1.0
徐长卿,冰片,2.0
徐长卿,桃仁,1.0
徐长卿,使君子,2.0
徐长卿,木香,1.0
徐长卿,麦门冬,1.0
徐长卿,桂枝,2.0
徐长卿,两面针,1.0
徐长卿,黄藤,1.0
徐长卿,车前,2.0
徐长卿,鬼箭羽,1.0
徐长卿,牛黄,1.0
徐长卿,香附,2.0
徐长卿,五味子,1.0
荆芥,青木香,5.0
荆芥,徐长卿,1.0
荆芥,竹叶,36.0
荆芥,淡竹叶,26.0
荆芥,芒硝,1.0
荆芥,石决明,12.0
荆芥,自然铜,4.0
荆芥,滑石粉,2.0
荆芥,海螵蛸,3.0
荆芥,赭石,1.0
荆芥,菊花,81.0
荆芥,葱白,8.0
荆芥,前胡,130.0
荆芥,红花,48.0
荆芥,蒲黄,17.0
荆芥,桃,34.0
荆芥,翻白草,1.0
荆芥,桑,68.0
荆芥,川芎,390.0
荆芥,地榆,16.0
荆芥,白术,115.0
荆芥,小茴香,7.0
荆芥,姜黄,6.0
荆芥,骨碎补,6.0
荆芥,高良姜,6.0
荆芥,蒺藜,43.0
荆芥,熊胆,4.0
荆芥,板栗,1.0
荆芥,桑寄生,6.0
荆芥,核桃仁,1.0
荆芥,牡蛎,2.0
荆芥,知母,55.0
荆芥,蜈蚣,15.0
荆芥,鸡内金,1.0
荆芥,雄黄,36.0
荆芥,茵陈蒿,5.0
荆芥,五加皮,14.0
荆芥,生姜,39.0
荆芥,紫苏叶,15.0
荆芥,玉竹,4.0
荆芥,延胡索,8.0
荆芥,梨,1.0
荆芥,火麻仁,1.0
荆芥,玄参,79.0
荆芥,昆布,2.0
荆芥,白果,2.0
荆芥,竹沥,1.0
荆芥,麦芽,15.0
荆芥,防风,594.0
荆芥,三棵针,1.0
荆芥,莪术,10.0
荆芥,肉桂,31.0
荆芥,枇杷,4.0
荆芥,白茅根,4.0
荆芥,金锦香,1.0
荆芥,寒水石,5.0
荆芥,楮实子,3.0
荆芥,枸杞子,6.0
荆芥,蝉蜕,90.0
荆芥,败酱,1.0
荆芥,益智,2.0
荆芥,白附子,34.0
荆芥,菟丝子,11.0
荆芥,三七,5.0
荆芥,白鲜皮,13.0
荆芥,郁金,18.0
荆芥,艾叶,9.0
荆芥,紫苏子,4.0
荆芥,白矾,12.0
荆芥,海金沙,1.0
荆芥,淡竹,27.0
荆芥,蟾酥,4.0
荆芥,蛇蜕,10.0
荆芥,甘草,733.0
荆芥,白芥子,11.0
荆芥,蓖麻子,1.0
荆芥,神曲,20.0
荆芥,鸡子,1.0
荆芥,芙蓉叶,1.0
荆芥,川楝子,3.0
荆芥,杏仁,87.0
荆芥,桑枝,2.0
荆芥,耳草,4.0
荆芥,皂角刺,8.0
荆芥,零陵香,2.0
荆芥,陈皮,140.0
荆芥,平贝母,1.0
荆芥,旋覆花,28.0
荆芥,制川乌,1.0
荆芥,秦皮,2.0
荆芥,山豆根,5.0
荆芥,黄连,121.0
荆芥,乳香,34.0
荆芥,青皮,32.0
荆芥,炉甘石,2.0
荆芥,山柰,4.0
荆芥,黄柏,56.0
荆芥,细辛,161.0
荆芥,藁本,63.0
荆芥,制草乌,1.0
荆芥,干姜,27.0
荆芥,茵陈,16.0
荆芥,豆蔻,10.0
荆芥,荜澄茄,2.0
荆芥,辣蓼,1.0
荆芥,土茯苓,10.0
荆芥,赤芍,183.0
荆芥,珍珠,9.0
荆芥,牛胆,5.0
荆芥,天南星,24.0
荆芥,松香,4.0
荆芥,母丁香,3.0
荆芥,青黛,9.0
荆芥,儿茶,2.0
荆芥,黄药子,1.0
荆芥,川木通,3.0
荆芥,赤石脂,3.0
荆芥,五灵脂,10.0
荆芥,女贞,1.0
荆芥,肉豆蔻,4.0
荆芥,槐角,18.0
荆芥,密蒙花,7.0
荆芥,益智仁,2.0
荆芥,百部,10.0
荆芥,土荆芥,2.0
荆芥,山茱萸,6.0
荆芥,百草霜,2.0
荆芥,芦根,13.0
荆芥,沙参,8.0
荆芥,枳实,14.0
荆芥,当归,329.0
荆芥,大麦,1.0
荆芥,丝瓜,1.0
荆芥,闹羊花,4.0
荆芥,大黄,118.0
荆芥,葶苈子,1.0
荆芥,山芝麻,1.0
荆芥,阿胶,14.0
荆芥,芍药,133.0
荆芥,南沙参,1.0
荆芥,牛膝,33.0
荆芥,车前子,35.0
荆芥,巴戟天,3.0
荆芥,木瓜,15.0
荆芥,天麻,117.0
荆芥,小蓟,1.0
荆芥,血竭,7.0
荆芥,熟地黄,14.0
荆芥,天门冬,8.0
荆芥,桔梗,318.0
荆芥,萝卜,3.0
荆芥,虎杖,3.0
荆芥,樟脑,5.0
荆芥,谷精草,3.0
荆芥,浮海石,1.0
荆芥,没药,28.0
荆芥,射干,15.0
荆芥,槐花,21.0
荆芥,全蝎,55.0
荆芥,山楂,28.0
荆芥,爵床,1.0
荆芥,马鞭草,4.0
荆芥,玄明粉,1.0
荆芥,桑椹,1.0
荆芥,地肤子,5.0
荆芥,鳖甲,18.0
荆芥,龙齿,1.0
荆芥,木贼,31.0
荆芥,杜仲,14.0
荆芥,石菖蒲,18.0
荆芥,海风藤,4.0
荆芥,大青叶,15.0
荆芥,板蓝根,8.0
荆芥,忍冬藤,3.0
荆芥,法半夏,6.0
荆芥,荜茇,7.0
荆芥,瓜蒌,10.0
荆芥,苦杏仁,15.0
荆芥,滑石,49.0
荆芥,大枣,6.0
荆芥,栀子,89.0
荆芥,千金子,1.0
荆芥,藿香,39.0
荆芥,远志,14.0
荆芥,亚麻,1.0
荆芥,蜂房,6.0
荆芥,紫草,35.0
荆芥,刘寄奴,1.0
荆芥,白前,6.0
荆芥,夏枯草,9.0
荆芥,槟榔,20.0
荆芥,威灵仙,27.0
荆芥,连翘,279.0
荆芥,水牛角,9.0
荆芥,乌梅,6.0
荆芥,丁香,15.0
荆芥,硫黄,2.0
荆芥,茜草,4.0
荆芥,白芍,117.0
荆芥,天花粉,48.0
荆芥,女贞子,1.0
荆芥,白芥,11.0
荆芥,淡豆豉,26.0
荆芥,白芷,254.0
荆芥,牛蒡子,131.0
荆芥,款冬花,4.0
荆芥,青风藤,1.0
荆芥,八角茴香,1.0
荆芥,斑蝥,7.0
荆芥,紫菀,12.0
荆芥,三棱,14.0
荆芥,牡丹皮,35.0
荆芥,川乌,66.0
荆芥,石斛,14.0
荆芥,柏子仁,4.0
荆芥,马兜铃,3.0
荆芥,蚕砂,3.0
荆芥,泽兰,12.0
荆芥,牵牛子,7.0
荆芥,草乌,72.0
荆芥,琥珀,14.0
荆芥,金银花,56.0
荆芥,胡椒,2.0
荆芥,人参,130.0
荆芥,僵蚕,122.0
荆芥,天仙藤,3.0
荆芥,浮萍,9.0
荆芥,莲子心,3.0
荆芥,升麻,126.0
荆芥,龙胆,11.0
荆芥,乌头,22.0
荆芥,赤小豆,7.0
荆芥,桑螵蛸,1.0
荆芥,补骨脂,1.0
荆芥,续断,10.0
荆芥,黄芪,8.0
荆芥,黄芩,294.0
荆芥,穿山甲,16.0
荆芥,轻粉,4.0
荆芥,鹿茸,2.0
荆芥,花椒,4.0
荆芥,莱菔子,3.0
荆芥,鹤虱,1.0
荆芥,丹参,8.0
荆芥,白扁豆,3.0
荆芥,益母草,12.0
荆芥,天竺黄,14.0
荆芥,扁豆花,1.0
荆芥,蓖麻,2.0
荆芥,枇杷叶,4.0
荆芥,何首乌,40.0
荆芥,浙贝母,5.0
荆芥,酸枣仁,10.0
荆芥,巴豆,4.0
荆芥,莲房,1.0
荆芥,阿魏,2.0
荆芥,白及,1.0
荆芥,猪苓,8.0
荆芥,紫花地丁,2.0
荆芥,辛夷,8.0
荆芥,苍耳子,8.0
荆芥,茴香,15.0
荆芥,降香,2.0
荆芥,胆南星,7.0
荆芥,蛇床子,8.0
荆芥,救必应,1.0
荆芥,牡荆,1.0
荆芥,芡实,4.0
荆芥,金沸草,5.0
荆芥,山药,14.0
荆芥,皂荚,12.0
荆芥,猪胆汁,1.0
荆芥,绿豆,7.0
荆芥,香加皮,3.0
荆芥,亚麻子,1.0
荆芥,四季青,1.0
荆芥,白豆蔻,3.0
荆芥,椿皮,6.0
荆芥,百合,6.0
荆芥,羚羊角,29.0
荆芥,西河柳,8.0
荆芥,片姜黄,1.0
荆芥,秦艽,33.0
荆芥,芥子,13.0
荆芥,草果,7.0
荆芥,甘松,12.0
荆芥,芦荟,3.0
荆芥,地骨皮,42.0
荆芥,芫花,3.0
荆芥,谷芽,2.0
荆芥,肉苁蓉,6.0
荆芥,苦参,48.0
荆芥,罂粟,3.0
荆芥,茯苓,144.0
荆芥,鹅不食草,1.0
荆芥,川贝母,8.0
荆芥,附子,72.0
荆芥,党参,11.0
荆芥,化橘红,2.0
荆芥,天冬,8.0
荆芥,牛蒡,168.0
荆芥,煅石膏,3.0
荆芥,海桐皮,3.0
荆芥,苎麻,1.0
荆芥,马勃,16.0
荆芥,桑叶,14.0
荆芥,蕤仁,1.0
荆芥,莲子,3.0
荆芥,大戟,1.0
荆芥,藜,44.0
荆芥,辣椒,2.0
荆芥,防己,9.0
荆芥,刺猬皮,2.0
荆芥,木通,109.0
荆芥,虎骨,5.0
荆芥,苍术,127.0
荆芥,蓼大青叶,2.0
荆芥,苏木,10.0
荆芥,龙骨,5.0
荆芥,鸽,1.0
荆芥,沉香,15.0
荆芥,炙甘草,21.0
荆芥,钩藤,8.0
荆芥,猪牙皂,12.0
荆芥,白蔹,6.0
荆芥,鱼腥草,2.0
荆芥,地龙,10.0
荆芥,薄荷,321.0
荆芥,黄精,1.0
荆芥,桑白皮,26.0
荆芥,马钱子,1.0
荆芥,通草,2.0
荆芥,五加,14.0
荆芥,牵牛,21.0
荆芥,麝香,45.0
荆芥,紫草茸,4.0
荆芥,紫河车,1.0
荆芥,冰片,28.0
荆芥,青葙子,7.0
荆芥,桂皮,1.0
荆芥,白薇,4.0
荆芥,苦瓜,1.0
荆芥,乌药,27.0
荆芥,木棉,1.0
荆芥,岗梅,3.0
荆芥,瞿麦,11.0
荆芥,大风子,1.0
荆芥,决明子,1.0
荆芥,蒲公英,7.0
荆芥,厚朴,41.0
荆芥,桃仁,31.0
荆芥,侧柏叶,7.0
荆芥,玳瑁,1.0
荆芥,大腹皮,5.0
荆芥,炮姜,5.0
荆芥,土鳖虫,1.0
荆芥,砂仁,21.0
荆芥,朱砂,40.0
荆芥,老鹳草,1.0
荆芥,硼砂,3.0
荆芥,半夏,97.0
荆芥,檀香,10.0
荆芥,苍耳,15.0
荆芥,吴茱萸,3.0
荆芥,脐带,1.0
荆芥,罂粟壳,3.0
荆芥,人中白,2.0
荆芥,蔓荆子,48.0
荆芥,羌活,310.0
荆芥,拳参,1.0
荆芥,地胆草,2.0
荆芥,香薷,13.0
荆芥,葛根,93.0
荆芥,佩兰,3.0
荆芥,生地黄,49.0
荆芥,水红花子,3.0
荆芥,人中黄,8.0
荆芥,覆盆子,1.0
荆芥,五倍子,4.0
荆芥,橘红,19.0
荆芥,广藿香,7.0
荆芥,杏,89.0
荆芥,荷叶,59.0
荆芥,青葙,7.0
荆芥,芒果,1.0
荆芥,犀角,40.0
荆芥,藕节,1.0
荆芥,柴胡,186.0
荆芥,使君子,5.0
荆芥,海藻,1.0
荆芥,竹茹,8.0
荆芥,麻黄,175.0
荆芥,木香,59.0
荆芥,橘络,1.0
荆芥,麦门冬,22.0
荆芥,茶叶,5.0
荆芥,泽泻,19.0
荆芥,桂枝,33.0
荆芥,麻黄根,3.0
荆芥,关木通,3.0
荆芥,大头陈,1.0
荆芥,枳壳,156.0
荆芥,千年健,1.0
荆芥,两面针,1.0
荆芥,黄藤,1.0
荆芥,车前,42.0
荆芥,两头尖,6.0
荆芥,矮地茶,1.0
荆芥,青蒿,14.0
荆芥,透骨草,2.0
荆芥,独活,111.0
荆芥,苦地丁,2.0
荆芥,牛黄,27.0
荆芥,一枝黄花,1.0
荆芥,薏苡仁,8.0
荆芥,胡黄连,4.0
荆芥,茺蔚子,2.0
荆芥,麦冬,52.0
荆芥,马钱,1.0
荆芥,香附,66.0
荆芥,贯众,7.0
荆芥,望月砂,2.0
荆芥,五味子,16.0
荆芥,瓜蒌子,1.0
荆芥,胆矾,2.0
荆芥,稻芽,1.0
荆芥,石膏,150.0
荆芥,大豆,1.0
荆芥,木鳖子,4.0
荆芥,紫苏梗,1.0
荆芥,牡丹,39.0
荆芥,诃子,12.0
椒目,葱白,1.0
椒目,前胡,1.0
椒目,桃,1.0
椒目,桑,6.0
椒目,藜芦,3.0
椒目,白术,5.0
椒目,小茴香,1.0
椒目,蜈蚣,3.0
椒目,雄黄,4.0
椒目,生姜,1.0
椒目,延胡索,1.0
椒目,昆布,1.0
椒目,冬瓜,1.0
椒目,莪术,2.0
椒目,菟丝子,1.0
椒目,白矾,1.0
椒目,甘草,3.0
椒目,杏仁,4.0
椒目,陈皮,3.0
椒目,旋覆花,1.0
椒目,黄连,1.0
椒目,青皮,2.0
椒目,黄柏,2.0
椒目,细辛,1.0
椒目,干姜,3.0
椒目,豆蔻,1.0
椒目,泽漆,1.0
椒目,赤芍,1.0
椒目,商陆,4.0
椒目,五灵脂,1.0
椒目,枳实,2.0
椒目,当归,3.0
椒目,大黄,7.0
椒目,葶苈子,2.0
椒目,阿胶,1.0
椒目,芍药,1.0
椒目,车前子,1.0
椒目,木瓜,1.0
椒目,冬瓜皮,1.0
椒目,萝卜,2.0
椒目,木贼,1.0
椒目,杜仲,1.0
椒目,瓜蒌,1.0
椒目,滑石,1.0
椒目,千金子,1.0
椒目,槟榔,6.0
椒目,威灵仙,1.0
椒目,连翘,2.0
椒目,乌梅,1.0
椒目,硫黄,1.0
椒目,白芍,1.0
椒目,斑蝥,4.0
椒目,三棱,2.0
椒目,川乌,1.0
椒目,柏子仁,1.0
椒目,牵牛子,3.0
椒目,胡椒,2.0
椒目,龙胆,1.0
椒目,赤小豆,2.0
椒目,黄芩,2.0
椒目,小麦,1.0
椒目,阳起石,1.0
椒目,花椒,2.0
椒目,益母草,1.0
椒目,巴豆,10.0
椒目,猪苓,4.0
椒目,茴香,2.0
椒目,皂荚,1.0
椒目,香加皮,1.0
椒目,白豆蔻,1.0
椒目,莨菪,1.0
椒目,秦艽,2.0
椒目,芫花,7.0
椒目,茯苓,12.0
椒目,附子,9.0
椒目,大戟,3.0
椒目,藜,3.0
椒目,防己,6.0
椒目,木通,4.0
椒目,苍术,2.0
椒目,甘遂,8.0
椒目,桑白皮,3.0
椒目,通草,1.0
椒目,牵牛,8.0
椒目,郁李,2.0
椒目,瞿麦,1.0
椒目,厚朴,2.0
椒目,桃仁,1.0
椒目,干漆,2.0
椒目,大腹皮,2.0
椒目,砂仁,1.0
椒目,吴茱萸,3.0
椒目,羌活,1.0
椒目,香薷,1.0
椒目,杏,4.0
椒目,荷叶,1.0
椒目,犀角,1.0
椒目,海藻,1.0
椒目,麻黄,1.0
椒目,木香,7.0
椒目,泽泻,12.0
椒目,桂枝,1.0
椒目,麻黄根,1.0
椒目,郁李仁,2.0
椒目,车前,1.0
椒目,牛黄,1.0
椒目,香附,1.0
椒目,五味子,1.0
椒目,胆矾,1.0
椒目,石膏,1.0
竹叶,青木香,2.0
竹叶,荆芥,36.0
竹叶,淡竹叶,153.0
竹叶,芒硝,4.0
竹叶,菊花,7.0
竹叶,葱白,4.0
竹叶,前胡,17.0
竹叶,红花,4.0
竹叶,蒲黄,7.0
竹叶,桃,3.0
竹叶,桑,32.0
竹叶,川芎,14.0
竹叶,白术,7.0
竹叶,姜黄,2.0
竹叶,骨碎补,1.0
竹叶,牡蛎,2.0
竹叶,知母,52.0
竹叶,鸡内金,1.0
竹叶,茵陈蒿,2.0
竹叶,生姜,27.0
竹叶,玉竹,1.0
竹叶,延胡索,1.0
竹叶,火麻仁,1.0
竹叶,玄参,29.0
竹叶,瓜蒌皮,1.0
竹叶,冬瓜,1.0
竹叶,竹沥,1.0
竹叶,麦芽,2.0
竹叶,防风,23.0
竹叶,肉桂,1.0
竹叶,枇杷,3.0
竹叶,白茅根,4.0
竹叶,金锦香,1.0
竹叶,寒水石,3.0
竹叶,葫芦茶,1.0
竹叶,蝉蜕,9.0
竹叶,三七,3.0
竹叶,郁金,7.0
竹叶,淡竹,154.0
竹叶,甘草,203.0
竹叶,神曲,2.0
竹叶,鸡子,1.0
竹叶,重楼,2.0
竹叶,杏仁,31.0
竹叶,桑枝,1.0
竹叶,零陵香,1.0
竹叶,陈皮,8.0
竹叶,制川乌,1.0
竹叶,秦皮,1.0
竹叶,黄连,29.0
竹叶,青皮,2.0
竹叶,黄柏,11.0
竹叶,细辛,7.0
竹叶,藁本,1.0
竹叶,制草乌,1.0
竹叶,茵陈,6.0
竹叶,土茯苓,1.0
竹叶,赤芍,31.0
竹叶,珍珠母,2.0
竹叶,珍珠,2.0
竹叶,天南星,1.0
竹叶,冬瓜子,1.0
竹叶,川木通,1.0
竹叶,五灵脂,1.0
竹叶,女贞,1.0
竹叶,密蒙花,2.0
竹叶,木蝴蝶,3.0
竹叶,芦根,12.0
竹叶,沙参,5.0
竹叶,枳实,7.0
竹叶,当归,28.0
竹叶,大黄,24.0
竹叶,山芝麻,2.0
竹叶,芍药,32.0
竹叶,车前草,2.0
竹叶,牛膝,3.0
竹叶,车前子,11.0
竹叶,木瓜,1.0
竹叶,小蓟,4.0
竹叶,天门冬,1.0
竹叶,桔梗,59.0
竹叶,樟脑,1.0
竹叶,谷精草,1.0
竹叶,射干,4.0
竹叶,槐花,1.0
竹叶,山楂,3.0
竹叶,玄明粉,1.0
竹叶,鳖甲,3.0
竹叶,龙齿,1.0
竹叶,石菖蒲,6.0
竹叶,大青叶,8.0
竹叶,西瓜,2.0
竹叶,板蓝根,5.0
竹叶,忍冬藤,2.0
竹叶,瓜蒌,5.0
竹叶,苦杏仁,1.0
竹叶,滑石,26.0
竹叶,大枣,15.0
竹叶,栀子,48.0
竹叶,远志,4.0
竹叶,紫草,3.0
竹叶,白前,3.0
竹叶,葫芦,1.0
竹叶,夏枯草,4.0
竹叶,槟榔,3.0
竹叶,威灵仙,1.0
竹叶,连翘,107.0
竹叶,水牛角,5.0
竹叶,乌梅,4.0
竹叶,丁香,2.0
竹叶,茜草,1.0
竹叶,白芍,14.0
竹叶,天花粉,14.0
竹叶,女贞子,1.0
竹叶,淡豆豉,20.0
竹叶,白芷,18.0
竹叶,牛蒡子,37.0
竹叶,升丹,1.0
竹叶,款冬花,1.0
竹叶,火炭母,2.0
竹叶,紫菀,7.0
竹叶,牡丹皮,6.0
竹叶,川乌,2.0
竹叶,石斛,11.0
竹叶,马兜铃,2.0
竹叶,泽兰,2.0
竹叶,草乌,2.0
竹叶,琥珀,2.0
竹叶,金银花,33.0
竹叶,人参,58.0
竹叶,僵蚕,8.0
竹叶,浮萍,1.0
竹叶,莲子心,6.0
竹叶,升麻,28.0
竹叶,龙胆,6.0
竹叶,赤小豆,3.0
竹叶,续断,1.0
竹叶,黄芩,83.0
竹叶,小麦,19.0
竹叶,金钱草,3.0
竹叶,鹿茸,1.0
竹叶,花椒,1.0
竹叶,莱菔子,1.0
竹叶,丹参,10.0
竹叶,天竺黄,2.0
竹叶,枇杷叶,3.0
竹叶,浙贝母,2.0
竹叶,酸枣仁,1.0
竹叶,银柴胡,1.0
竹叶,猪苓,10.0
竹叶,紫花地丁,1.0
竹叶,辛夷,1.0
竹叶,胆南星,1.0
竹叶,山药,1.0
竹叶,皂荚,1.0
竹叶,绿豆,2.0
竹叶,常山,3.0
竹叶,凤眼草,1.0
竹叶,百合,1.0
竹叶,羚羊角,12.0
竹叶,西河柳,4.0
竹叶,白石英,1.0
竹叶,九里香,1.0
